, , , , , ,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL)
Emeklilik ?irketi,Kat?l?mc? Say?s?,Kat?l?mc?lar?n Fon Tutar? (TL),Devlet Katk?s? Fon Tutar? (TL),Katk? Pay? Tutar? (TL),Emekli Olan Kat?l?mc? Say?s?,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam
Aegon Emeklilik ve Hayat,"192,816","659,910,410","78,677,009","441,697,220","3,279","150,329","65,410","4,067","219,806","334,821,512","89,684,981","7,567,068","432,073,561"
Allianz Hayat ve Emeklilik,"493,819","12,869,330,078","1,713,814,329","8,930,753,280","18,896","478,951","74,982","20,734","574,667","7,346,900,915","1,253,885,979","245,125,527","8,845,912,421"
Allianz Ya?am ve Emeklilik,"3,690,765","54,881,781,342","6,390,120,585","38,417,056,887","56,426","3,024,246","595,401","791,270","4,410,917","26,210,340,515","7,802,607,868","3,815,739,776","37,828,688,158"
Anadolu Hayat Emeklilik,"5,546,956","74,070,245,515","12,281,829,368","54,569,456,316","116,377","4,773,806","1,534,383","178,666","6,486,855","40,604,864,664","12,179,406,234","1,113,637,536","53,897,908,433"
Avivasa Emeklilik ve Hayat,"4,104,062","77,202,676,648","11,053,952,598","56,242,779,799","91,591","4,656,559","317,969","228,563","5,203,091","48,334,797,165","4,855,913,168","2,013,945,835","55,204,656,168"
Axa Hayat ve Emeklilik,"176,332","1,915,848,436","389,418,640","1,478,978,743",302,"217,569","5,747","2,221","225,537","1,389,164,183","54,535,624","15,759,527","1,459,459,334"
Bereket Emeklilik ve Hayat,"494,378","1,718,880,031","344,872,769","1,234,255,950",165,"143,406","238,091","137,354","518,851","519,319,590","664,902,626","41,972,387","1,226,194,604"
BNP Paribas Cardif Emeklilik,"913,128","10,449,685,785","1,591,235,162","7,666,682,461","12,008","776,897","207,851","117,550","1,102,298","5,867,417,833","1,373,047,084","326,337,656","7,566,802,573"
Cigna Finans Emeklilik ve Hayat,"447,916","3,386,229,599","666,302,468","2,580,957,673",616,"401,036","70,891","7,876","479,803","2,121,604,895","387,698,308","9,999,970","2,519,303,173"
Fiba Emeklilik ve Hayat,"468,440","7,638,238,116","931,017,656","5,548,570,949","5,513","431,549","94,354","28,107","554,010","4,192,497,988","1,060,278,573","261,049,592","5,513,826,153"
Garanti Emeklilik ve Hayat,"5,666,943","57,879,289,068","9,485,353,254","42,605,054,743","67,448","4,880,936","740,939","402,967","6,024,842","32,001,678,744","8,289,277,579","1,391,226,485","41,682,182,808"
Groupama Emeklilik,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,693,378","17,582,202,220","3,379,592,170","14,320,462,948","1,604","1,697,113","1,100,160","281,071","3,078,344","6,825,500,839","6,465,844,789","881,738,318","14,173,083,946"
Kat?l?m Emeklilik ve Hayat,"1,190,780","6,215,430,118","1,293,390,861","5,177,263,191",417,"1,110,602","266,042","294,577","1,671,221","3,702,612,274","961,360,260","357,341,463","5,021,313,997"
Metlife Emeklilik ve Hayat,"931,317","7,513,321,554","1,353,959,886","5,967,905,628","2,228","778,726","162,249","84,370","1,025,345","4,186,322,925","1,002,570,567","667,105,638","5,855,999,129"
NN Hayat ve Emeklilik,"1,285,284","14,445,708,679","2,252,864,328","10,556,409,296","24,706","1,308,453","147,381","49,598","1,505,432","9,017,702,740","1,220,514,204","154,099,075","10,392,316,018"
Vak?f Emeklilik ve Hayat,"2,673,225","32,142,456,065","4,777,450,905","23,019,414,124","41,183","3,281,677","376,415","200,561","3,858,653","17,412,719,475","4,544,988,578","842,795,943","22,800,503,995"
Ziraat Hayat ve Emeklilik,"3,183,231","19,708,427,391","3,910,612,704","15,793,915,436","6,110","2,175,733","1,143,155","268,452","3,587,340","9,206,842,881","4,714,033,143","1,563,877,026","15,484,753,051"
Grand Total,"34,152,770","400,279,661,056","61,894,464,692","294,551,614,645","463,739","30,287,588","7,141,420","3,098,004","40,527,012","219,275,109,136","56,920,549,568","13,709,318,821","289,904,977,524"
