Aegon Emeklilik ve Hayat,"201,967","715,748,633","79,270,469","504,451,611","2,485","158,168","67,984","4,287","230,439","393,613,565","90,533,568","8,446,050","492,593,183"
Allianz Hayat ve Emeklilik,"534,603","11,651,020,686","1,529,560,552","8,540,903,352","15,666","512,869","83,466","22,084","618,419","6,948,649,154","1,271,297,615","240,245,716","8,460,192,485"
Allianz Ya?am ve Emeklilik,"3,848,495","48,568,118,755","5,620,235,438","35,974,064,842","44,445","3,159,382","662,105","800,973","4,622,460","24,885,661,311","7,578,602,336","2,970,597,691","35,434,861,338"
Anadolu Hayat Emeklilik,"5,729,066","65,594,332,627","10,453,752,502","50,732,649,731","91,464","4,875,335","1,598,314","170,523","6,644,172","37,401,720,951","11,568,346,106","1,053,604,325","50,023,671,382"
Avivasa Emeklilik ve Hayat,"4,378,055","69,650,690,968","9,646,698,011","53,662,550,368","70,374","4,977,539","337,512","234,474","5,549,525","46,052,939,617","4,808,911,014","1,883,233,265","52,745,083,895"
Axa Hayat ve Emeklilik,"178,181","1,632,796,601","324,987,793","1,339,862,484",224,"212,601","6,257","2,355","221,213","1,259,406,555","48,998,851","13,746,382","1,322,151,788"
Bereket Emeklilik ve Hayat,"537,943","1,673,262,170","357,448,049","1,308,248,111",110,"158,891","263,766","140,443","563,100","551,063,219","704,676,096","43,323,508","1,299,062,823"
BNP Paribas Cardif Emeklilik,"923,172","9,531,492,842","1,384,718,406","7,453,831,313","9,636","758,249","230,978","126,658","1,115,885","5,720,266,211","1,322,569,007","324,750,033","7,367,585,251"
Cigna Finans Emeklilik ve Hayat,"510,350","3,329,060,530","634,098,418","2,689,729,174",500,"452,295","86,034","8,835","547,164","2,196,355,782","420,696,155","12,254,577","2,629,306,515"
Fiba Emeklilik ve Hayat,"485,384","6,910,795,829","814,082,333","5,242,498,947","1,217","440,400","100,572","29,784","570,756","3,893,580,211","1,057,654,023","250,306,642","5,201,540,877"
Garanti Emeklilik ve Hayat,"6,052,169","53,097,039,724","8,203,562,181","40,983,378,021","50,088","5,175,348","849,312","415,950","6,440,610","30,728,635,777","8,144,971,350","1,275,803,238","40,149,410,365"
Groupama Emeklilik,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,573,408","14,394,736,885","2,715,242,352","12,393,333,079","1,193","1,499,204","1,141,168","284,624","2,924,996","5,579,348,046","5,942,657,192","757,903,893","12,279,909,131"
Kat?l?m Emeklilik ve Hayat,"1,044,614","4,651,734,237","948,198,612","4,145,244,744",253,"897,347","242,542","263,386","1,403,275","2,934,335,662","817,799,972","294,737,710","4,046,873,344"
Metlife Emeklilik ve Hayat,"939,512","6,866,885,347","1,196,163,564","5,728,557,379","1,584","771,866","174,931","85,840","1,032,637","4,028,779,185","990,153,945","628,665,455","5,647,598,586"
NN Hayat ve Emeklilik,"1,324,969","13,043,097,736","1,944,027,247","9,937,284,766","19,259","1,325,767","165,400","51,187","1,542,354","8,420,481,599","1,220,992,580","149,868,951","9,791,343,129"
Vak?f Emeklilik ve Hayat,"2,527,082","27,148,962,475","3,877,208,423","21,111,078,560","31,626","3,160,134","378,412","148,055","3,686,601","15,742,240,478","4,469,990,123","704,883,144","20,917,113,745"
Ziraat Hayat ve Emeklilik,"3,005,614","15,681,680,484","3,032,421,497","13,242,852,865","4,494","2,043,255","1,095,126","267,986","3,406,367","7,857,297,786","3,954,690,734","1,243,061,640","13,055,050,161"
Grand Total,"34,794,584","354,141,456,529","52,761,675,846","274,990,519,345","359,488","30,578,650","7,483,879","3,057,444","41,119,973","204,594,375,112","54,413,540,667","11,855,432,219","270,863,347,998"
