Aegon Emeklilik ve Hayat,"249,037","883,962,929","95,696,058","631,348,794","2,254","196,028","83,246","5,234","284,508","493,848,327","111,374,535","10,264,904","615,487,766"
Allianz Hayat ve Emeklilik,"671,920","12,692,334,054","1,711,107,858","9,515,223,558","16,704","640,577","105,435","26,795","772,807","7,672,314,087","1,478,900,796","272,147,400","9,423,362,283"
Allianz Ya?am ve Emeklilik,"4,664,093","52,080,926,208","6,216,457,345","39,053,565,764","44,318","3,817,214","842,470","949,509","5,609,193","26,930,494,264","8,589,275,107","2,935,008,424","38,454,777,795"
Anadolu Hayat Emeklilik,"6,770,377","70,422,776,680","11,361,806,309","55,110,527,856","89,424","5,692,842","1,926,138","191,133","7,810,113","40,344,023,564","12,823,956,609","1,189,082,534","54,357,062,707"
Avivasa Emeklilik ve Hayat,"5,316,553","74,168,638,274","10,420,859,490","57,997,698,903","70,903","6,032,483","395,203","270,785","6,698,471","49,416,393,432","5,484,625,555","2,113,539,056","57,014,558,043"
Axa Hayat ve Emeklilik,"208,611","1,667,621,845","344,142,246","1,408,825,566",222,"244,171","7,978","3,089","255,238","1,310,784,354","53,696,337","25,716,046","1,390,196,737"
Bereket Emeklilik ve Hayat,"681,515","1,897,448,010","425,518,684","1,543,002,752",126,"204,378","334,910","170,693","709,981","675,074,568","801,248,352","54,990,354","1,531,313,274"
BNP Paribas Cardif Emeklilik,"1,104,636","10,505,405,026","1,502,116,474","8,371,541,289","9,571","883,148","287,780","162,653","1,333,581","6,465,469,081","1,444,490,523","367,013,855","8,276,973,460"
Cigna Finans Emeklilik ve Hayat,"665,880","3,868,661,228","728,204,547","3,158,998,080",452,"588,922","116,104","11,486","716,512","2,585,958,344","491,277,658","15,734,403","3,092,970,405"
Fiba Emeklilik ve Hayat,"251,804","2,470,852,073","313,008,533","2,128,092,196",842,"197,422","72,635","29,726","299,783","1,143,773,303","704,265,779","265,085,675","2,113,124,757"
Garanti Emeklilik ve Hayat,"7,164,498","58,344,610,675","8,931,228,297","45,455,704,770","47,502","6,104,831","1,084,558","451,080","7,640,469","33,979,081,264","9,227,812,587","1,411,337,289","44,618,231,140"
Groupama Emeklilik,"348,236","5,130,266,529","580,448,004","3,694,755,115","15,384","342,429","46,525","5,802","394,756","3,242,219,581","398,198,490","16,418,464","3,656,836,535"
Halk Hayat ve Emeklilik,"2,879,505","14,892,971,368","2,838,120,419","12,909,744,721","1,123","1,556,105","1,378,042","323,963","3,258,110","5,586,000,864","6,458,082,983","762,664,777","12,806,748,625"
Kat?l?m Emeklilik ve Hayat,"1,078,283","4,361,280,121","886,602,217","4,004,328,055",224,"788,722","292,217","302,288","1,383,227","2,790,349,031","836,699,947","293,707,788","3,920,756,767"
Metlife Emeklilik ve Hayat,"1,123,688","7,443,374,534","1,285,605,677","6,244,626,452","1,461","913,673","215,424","105,750","1,234,847","4,358,124,609","1,089,026,204","719,513,330","6,166,664,143"
NN Hayat ve Emeklilik,"1,597,271","14,340,712,214","2,091,066,867","11,041,595,590","19,124","1,576,898","213,371","63,535","1,853,804","9,283,219,905","1,420,505,462","177,969,863","10,881,695,230"
Vak?f Emeklilik ve Hayat,"2,863,842","29,074,793,841","4,096,013,292","23,275,766,322","30,596","3,477,766","464,803","173,763","4,116,332","17,145,307,588","5,148,306,187","773,015,969","23,066,629,744"
Ziraat Hayat ve Emeklilik,"3,368,668","15,812,898,595","3,093,645,220","13,569,310,621","4,274","2,285,887","1,227,214","321,981","3,835,082","8,206,112,714","3,958,152,775","1,260,941,696","13,425,207,185"
