Aegon Emeklilik ve Hayat,"230,162","771,183,816","88,202,727","521,363,653","4,072","179,457","78,069","4,816","262,342","395,449,619","105,970,091","8,628,995","510,048,704"
Allianz Hayat ve Emeklilik,"586,559","15,510,009,395","1,968,650,831","10,781,764,937","23,112","569,061","89,160","24,783","683,004","8,877,739,321","1,505,502,126","295,641,841","10,678,883,288"
Allianz Ya?am ve Emeklilik,"4,412,471","66,662,198,096","7,316,902,765","46,610,471,371","69,363","3,620,450","708,762","942,864","5,272,076","31,803,638,696","9,419,187,407","4,673,842,220","45,896,668,322"
Anadolu Hayat Emeklilik,"6,624,585","89,503,991,615","14,185,077,612","66,023,881,767","144,325","5,706,376","1,831,681","214,677","7,752,734","49,173,916,388","14,700,010,620","1,351,185,089","65,225,112,096"
Avivasa Emeklilik ve Hayat,"4,878,064","93,145,022,306","12,724,541,279","67,840,793,218","112,895","5,536,070","378,000","273,092","6,187,162","58,301,631,118","5,845,269,164","2,441,892,741","66,588,793,022"
Axa Hayat ve Emeklilik,"209,739","2,315,331,067","450,534,374","1,791,665,250",373,"257,422","6,817","2,665","266,904","1,681,878,492","66,483,553","19,548,136","1,767,910,181"
Bereket Emeklilik ve Hayat,"585,927","2,073,768,739","413,723,173","1,467,961,462",198,"169,677","281,425","164,064","615,166","616,684,141","791,516,268","50,280,549","1,458,480,957"
BNP Paribas Cardif Emeklilik,"1,090,578","12,574,419,561","1,822,537,868","9,255,891,639","14,736","928,519","246,240","140,272","1,315,031","7,078,093,323","1,661,206,530","393,653,545","9,132,953,398"
Cigna Finans Emeklilik ve Hayat,"530,105","3,981,476,068","760,236,381","3,076,666,574",802,"474,985","83,492","9,250","567,727","2,529,199,593","462,445,783","11,440,407","3,003,085,783"
Fiba Emeklilik ve Hayat,"559,176","9,188,583,019","1,080,282,636","6,673,557,529","7,323","515,306","112,818","33,643","661,767","5,039,144,029","1,276,712,269","316,753,843","6,632,610,141"
Garanti Emeklilik ve Hayat,"6,754,674","69,905,352,599","10,963,460,601","51,442,868,437","83,380","5,820,568","880,532","481,349","7,182,449","38,652,268,663","9,965,846,712","1,682,202,369","50,300,317,744"
Groupama Emeklilik,0,0,0,0,"17,844",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"3,256,437","21,475,169,877","3,954,959,942","17,499,613,017","1,983","2,068,017","1,318,012","335,333","3,721,362","8,378,650,698","7,864,667,611","1,075,138,654","17,318,456,962"
Kat?l?m Emeklilik ve Hayat,"1,446,694","7,736,918,993","1,592,159,552","6,388,637,074",539,"1,350,018","327,008","363,936","2,040,962","4,549,132,866","1,174,657,535","468,056,776","6,191,847,177"
Metlife Emeklilik ve Hayat,"1,114,291","8,939,692,875","1,576,250,482","7,182,860,308","2,768","933,435","192,907","100,850","1,227,192","5,028,714,652","1,208,148,782","805,577,747","7,042,441,182"
NN Hayat ve Emeklilik,"1,535,635","17,472,281,383","2,580,426,947","12,760,048,690","30,702","1,564,508","175,009","60,779","1,800,296","10,906,546,268","1,468,175,802","185,055,743","12,559,777,812"
Vak?f Emeklilik ve Hayat,"3,220,707","39,201,133,198","5,564,472,704","27,933,655,448","50,991","3,949,865","450,044","242,268","4,642,177","21,175,655,099","5,454,512,266","1,037,126,746","27,667,294,110"
Ziraat Hayat ve Emeklilik,"3,855,431","23,933,732,017","4,589,975,094","19,307,645,827","7,519","2,634,218","1,388,393","321,495","4,344,106","11,232,982,114","5,771,701,669","1,914,067,123","18,918,750,906"
Grand Total,"40,891,235","484,390,264,624","71,632,394,968","356,559,346,201","572,925","36,277,952","8,548,369","3,716,136","48,542,457","265,421,325,078","68,742,014,187","16,730,092,523","350,893,431,788"
