, , , , , ,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL)
Emeklilik ?irketi,Kat?l?mc? Say?s?,Kat?l?mc?lar?n Fon Tutar? (TL),Devlet Katk?s? Fon Tutar? (TL),Katk? Pay? Tutar? (TL),Emekli Olan Kat?l?mc? Say?s?,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam
Aegon Emeklilik ve Hayat,"194,835","638,800,027","73,696,716","452,647,547","3,106","151,884","66,201","4,137","222,222","343,805,911","90,803,858","8,002,008","442,611,777"
Allianz Hayat ve Emeklilik,"502,497","12,244,327,364","1,561,665,495","8,811,135,532","18,265","486,364","76,439","21,022","583,825","7,231,107,007","1,253,429,378","242,401,960","8,726,938,345"
Allianz Ya?am ve Emeklilik,"3,733,799","52,221,844,400","5,816,265,459","37,997,580,436","53,875","3,060,084","607,518","800,094","4,467,696","26,026,884,252","7,730,434,332","3,659,390,287","37,416,708,871"
Anadolu Hayat Emeklilik,"5,577,539","70,480,466,517","11,121,362,495","53,741,152,119","111,969","4,794,543","1,537,368","176,960","6,508,871","39,940,941,202","12,021,254,610","1,095,032,622","53,057,228,433"
Avivasa Emeklilik ve Hayat,"4,179,480","73,987,677,374","10,121,232,125","55,931,380,045","87,449","4,740,013","325,477","229,975","5,295,465","48,109,781,601","4,863,411,152","1,982,977,287","54,956,170,040"
Axa Hayat ve Emeklilik,"175,734","1,786,183,582","352,388,502","1,444,143,008",283,"213,876","5,856","2,203","221,935","1,356,753,942","53,155,091","15,082,932","1,424,991,965"
Bereket Emeklilik ve Hayat,"505,360","1,679,597,625","335,277,541","1,255,491,615",160,"147,325","244,463","137,825","529,613","528,702,399","675,896,434","42,522,762","1,247,121,595"
BNP Paribas Cardif Emeklilik,"923,346","10,049,448,447","1,457,842,524","7,652,423,412","11,481","781,752","213,584","120,981","1,116,317","5,852,051,771","1,369,625,640","333,513,263","7,555,190,674"
Cigna Finans Emeklilik ve Hayat,"458,807","3,236,908,073","618,335,369","2,596,231,181",590,"410,304","73,244","8,061","491,609","2,134,176,782","389,649,991","10,268,742","2,534,095,516"
Fiba Emeklilik ve Hayat,"472,158","7,307,976,690","853,204,350","5,484,751,968","4,558","434,248","95,254","28,199","557,701","4,143,841,448","1,049,767,587","255,299,301","5,448,908,336"
Garanti Emeklilik ve Hayat,"5,763,601","55,478,593,196","8,716,924,104","42,225,566,352","64,308","4,961,543","760,243","404,630","6,126,416","31,719,336,653","8,235,721,131","1,370,737,724","41,325,795,509"
Groupama Emeklilik,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,676,169","16,572,924,919","3,065,625,734","13,912,176,733","1,551","1,665,661","1,106,173","281,993","3,053,827","6,581,813,826","6,333,494,162","855,613,710","13,770,921,697"
Kat?l?m Emeklilik ve Hayat,"1,175,845","5,839,657,657","1,204,757,959","4,968,101,251",375,"1,099,603","262,902","285,295","1,647,800","3,567,424,946","931,587,797","327,091,167","4,826,103,910"
Metlife Emeklilik ve Hayat,"938,965","7,183,698,132","1,263,498,698","5,970,350,358","2,064","783,530","165,631","83,939","1,033,100","4,194,132,114","1,001,346,035","667,698,172","5,863,176,321"
NN Hayat ve Emeklilik,"1,295,359","13,722,638,061","2,047,856,543","10,419,466,509","23,416","1,312,540","150,955","50,209","1,513,704","8,887,193,977","1,220,301,792","153,361,468","10,260,857,236"
Vak?f Emeklilik ve Hayat,"2,652,873","30,582,587,207","4,300,518,159","22,502,032,819","39,169","3,274,489","379,616","190,270","3,844,375","17,020,732,085","4,468,541,478","798,620,414","22,287,893,977"
Ziraat Hayat ve Emeklilik,"3,164,879","18,425,333,198","3,565,793,501","15,314,629,755","5,803","2,165,237","1,134,453","266,540","3,566,230","8,987,860,733","4,560,613,918","1,504,959,030","15,053,433,681"
Grand Total,"34,391,246","381,438,662,469","56,476,245,275","290,679,260,639","443,292","30,482,996","7,205,377","3,092,333","40,780,706","216,626,540,650","56,249,034,383","13,322,572,849","286,198,147,882"
