Aegon Emeklilik ve Hayat,"206,968","731,200,291","78,658,545","523,472,772","1,959","162,701","69,330","4,369","236,400","410,057,142","91,754,672","8,609,488","510,421,302"
Allianz Hayat ve Emeklilik,"555,418","10,759,877,754","1,409,098,191","8,001,062,497","14,168","529,623","87,086","22,236","638,945","6,462,972,839","1,232,767,248","228,100,318","7,923,840,405"
Allianz Ya?am ve Emeklilik,"3,878,134","44,293,216,363","5,138,206,646","32,954,723,963","37,942","3,175,451","694,433","788,963","4,658,847","22,747,372,899","7,197,020,424","2,505,245,644","32,449,638,967"
Anadolu Hayat Emeklilik,"5,683,464","59,782,831,298","9,448,188,113","46,539,499,434","74,640","4,793,040","1,600,347","165,645","6,559,032","34,069,629,736","10,798,293,571","998,877,614","45,866,800,921"
Avivasa Emeklilik ve Hayat,"4,430,861","63,110,985,598","8,645,580,903","49,132,499,204","60,713","5,024,424","332,039","230,222","5,586,685","41,911,253,155","4,611,754,154","1,780,520,785","48,303,528,093"
Axa Hayat ve Emeklilik,"173,931","1,419,959,155","285,618,606","1,192,321,574",191,"203,928","6,592","2,522","213,042","1,112,024,416","45,154,427","19,321,107","1,176,499,951"
Bereket Emeklilik ve Hayat,"563,386","1,601,027,347","348,650,332","1,278,731,739",105,"168,485","276,153","142,102","586,740","559,106,142","664,122,040","45,859,508","1,269,087,690"
BNP Paribas Cardif Emeklilik,"915,603","8,861,007,988","1,249,722,937","7,037,312,935","8,230","733,435","237,408","134,414","1,105,257","5,430,280,722","1,217,371,205","310,107,041","6,957,758,968"
Cigna Finans Emeklilik ve Hayat,"548,671","3,231,514,175","600,997,301","2,646,116,830",393,"485,293","95,189","9,561","590,043","2,165,208,634","411,555,583","13,231,342","2,589,995,559"
Fiba Emeklilik ve Hayat,"210,082","2,112,994,463","263,761,888","1,818,140,782",718,"164,954","61,074","24,531","250,559","977,966,172","607,085,894","220,697,629","1,805,749,695"
Garanti Emeklilik ve Hayat,"5,972,898","49,207,959,500","7,415,039,702","38,336,594,764","40,683","5,092,636","894,833","379,485","6,366,954","28,681,079,498","7,759,108,373","1,187,229,022","37,627,416,893"
Groupama Emeklilik,"287,726","4,294,298,801","477,382,685","3,080,831,044","13,158","282,720","38,378","4,811","325,909","2,702,695,582","333,017,216","13,818,498","3,049,531,296"
Halk Hayat ve Emeklilik,"2,430,369","12,693,769,716","2,365,967,893","11,012,968,983",969,"1,332,695","1,142,459","274,704","2,749,858","4,795,988,891","5,470,684,657","656,201,892","10,922,875,440"
Kat?l?m Emeklilik ve Hayat,"917,298","3,758,218,959","753,428,328","3,433,675,447",204,"686,852","244,414","252,389","1,183,655","2,399,526,089","711,976,036","249,805,963","3,361,308,089"
Metlife Emeklilik ve Hayat,"939,707","6,282,644,486","1,068,358,256","5,282,287,932","1,271","764,281","180,039","87,905","1,032,225","3,690,790,635","919,387,888","605,311,769","5,215,490,293"
NN Hayat ve Emeklilik,"1,331,124","12,118,445,950","1,749,830,102","9,302,033,193","16,309","1,316,397","175,680","52,764","1,544,841","7,829,063,847","1,188,060,036","150,020,714","9,167,144,597"
Vak?f Emeklilik ve Hayat,"2,407,978","24,664,023,782","3,428,525,906","19,599,362,923","26,216","2,943,499","385,715","144,870","3,474,084","14,458,673,571","4,311,900,719","652,028,402","19,422,602,692"
Ziraat Hayat ve Emeklilik,"2,829,905","13,541,735,371","2,597,029,460","11,605,213,295","3,669","1,920,680","1,030,568","267,918","3,219,166","7,005,322,637","3,396,842,621","1,077,015,275","11,479,180,534"
