, , , , , ,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL)
Emeklilik ?irketi,Kat?l?mc? Say?s?,Kat?l?mc?lar?n Fon Tutar? (TL),Devlet Katk?s? Fon Tutar? (TL),Katk? Pay? Tutar? (TL),Emekli Olan Kat?l?mc? Say?s?,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam
Aegon Emeklilik ve Hayat,"188,653","654,908,779","76,552,783","412,711,719","3,710","147,250","63,751","3,543","214,544","312,944,097","86,589,009","4,345,941","403,879,047"
Allianz Hayat ve Emeklilik,"474,640","13,957,222,534","1,891,071,206","9,297,815,693","20,682","461,876","71,422","20,428","553,726","7,700,412,632","1,251,789,883","256,630,822","9,208,833,338"
Allianz Ya?am ve Emeklilik,"3,647,200","60,489,431,724","7,049,848,599","40,421,357,986","62,951","3,013,917","572,924","777,972","4,364,813","27,487,911,086","8,033,662,943","4,272,843,388","39,794,417,417"
Anadolu Hayat Emeklilik,"5,467,877","81,212,873,857","13,607,926,526","57,316,143,107","131,048","4,749,913","1,500,105","171,999","6,422,017","42,677,882,489","12,567,285,934","1,240,247,037","56,485,415,461"
Avivasa Emeklilik ve Hayat,"3,945,292","83,731,454,423","12,128,152,181","58,193,409,813","102,490","4,477,202","305,818","230,295","5,013,315","50,019,239,138","4,964,936,706","2,123,152,064","57,107,327,909"
Axa Hayat ve Emeklilik,"169,682","2,112,931,658","425,351,695","1,544,406,726",365,"207,932","5,489","2,292","215,713","1,446,419,401","58,921,023","17,830,668","1,523,171,092"
Bereket Emeklilik ve Hayat,"471,245","1,793,436,902","349,662,564","1,201,687,681",192,"135,544","224,089","135,541","495,174","506,675,578","644,952,490","42,608,028","1,194,236,096"
BNP Paribas Cardif Emeklilik,"910,373","11,249,711,754","1,720,773,369","7,893,995,981","13,346","785,590","200,509","113,209","1,099,308","6,011,521,068","1,432,681,966","333,989,741","7,778,192,774"
Cigna Finans Emeklilik ve Hayat,"419,969","3,491,305,615","685,576,231","2,540,302,377","1,211","376,992","65,242","7,457","449,691","2,092,955,841","378,604,671","8,734,849","2,480,295,361"
Fiba Emeklilik ve Hayat,"456,718","8,057,001,946","1,033,872,063","5,576,793,024","8,214","421,282","92,181","27,675","541,138","4,203,289,482","1,064,059,217","277,232,156","5,544,580,856"
Garanti Emeklilik ve Hayat,"5,560,990","63,061,100,857","10,360,421,920","44,352,105,283","76,856","4,773,736","740,452","402,027","5,916,215","33,372,723,034","8,510,122,841","1,455,152,299","43,337,998,175"
Groupama Hayat,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,802,724","20,136,374,149","3,925,908,637","15,579,334,390","1,866","1,834,235","1,087,816","278,113","3,200,164","7,609,151,532","6,871,512,703","938,614,067","15,419,278,302"
Kat?l?m Emeklilik ve Hayat,"1,261,153","7,261,558,671","1,505,168,739","5,824,237,013",563,"1,197,480","283,437","319,131","1,800,048","4,165,426,794","1,059,610,256","402,089,653","5,627,126,703"
Metlife Emeklilik ve Hayat,"923,154","8,008,172,001","1,460,427,988","6,116,885,230","2,632","777,489","156,371","84,116","1,017,976","4,245,036,065","1,027,238,687","702,173,963","5,974,448,715"
NN Hayat ve Emeklilik,"1,276,482","15,767,924,937","2,522,138,345","11,153,977,264","28,117","1,310,546","140,807","51,047","1,502,400","9,579,530,034","1,234,014,450","160,492,123","10,974,036,608"
Vak?f Emeklilik ve Hayat,"2,732,342","35,911,371,263","5,385,351,602","24,462,258,939","47,038","3,342,543","369,832","206,526","3,918,901","18,633,604,542","4,625,446,594","967,509,018","24,226,560,154"
Ziraat Hayat ve Emeklilik,"3,285,362","22,445,191,175","4,507,377,658","17,211,636,367","6,922","2,242,787","1,187,177","267,386","3,697,350","9,921,226,619","5,180,656,532","1,727,473,603","16,829,356,754"
Grand Total,"33,993,856","439,341,972,245","68,635,582,105","309,099,058,593","523,073","30,256,314","7,067,422","3,098,757","40,422,493","229,985,949,433","58,992,085,907","14,931,119,422","303,909,154,761"
