, , , , , ,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL)
Emeklilik ?irketi,Kat?l?mc? Say?s?,Kat?l?mc?lar?n Fon Tutar? (TL),Devlet Katk?s? Fon Tutar? (TL),Katk? Pay? Tutar? (TL),Emekli Olan Kat?l?mc? Say?s?,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam
Aegon Emeklilik ve Hayat,"201,101","683,690,706","75,176,036","497,290,589","2,568","157,364","67,768","4,277","229,409","386,859,809","90,371,915","8,449,903","485,681,627"
Allianz Hayat ve Emeklilik,"532,671","11,698,417,308","1,475,090,372","8,594,424,663","16,026","511,211","82,989","22,106","616,306","6,995,502,767","1,274,398,646","243,211,791","8,513,113,204"
Allianz Ya?am ve Emeklilik,"3,846,508","49,023,173,243","5,423,101,251","36,389,518,825","45,531","3,159,097","658,569","806,905","4,624,571","25,144,567,370","7,641,782,716","3,058,640,445","35,844,990,532"
Anadolu Hayat Emeklilik,"5,724,116","65,954,210,497","10,144,080,197","51,191,300,210","94,182","4,870,150","1,599,553","179,083","6,648,786","37,764,583,979","11,654,784,956","1,066,300,585","50,485,669,520"
Avivasa Emeklilik ve Hayat,"4,369,067","70,222,398,635","9,320,065,554","54,188,506,564","72,339","4,968,178","336,365","235,713","5,540,256","46,520,799,795","4,835,379,835","1,904,087,946","53,260,267,577"
Axa Hayat ve Emeklilik,"178,560","1,645,117,354","316,319,259","1,357,222,393",229,"213,667","6,186","2,354","222,207","1,275,376,454","49,869,075","14,024,057","1,339,269,586"
Bereket Emeklilik ve Hayat,"533,672","1,675,067,508","354,768,317","1,304,435,696",117,"157,521","261,749","139,280","558,550","549,850,435","702,822,355","42,655,967","1,295,328,757"
BNP Paribas Cardif Emeklilik,"931,255","9,495,542,902","1,337,409,113","7,487,115,769","9,927","770,580","229,898","126,484","1,126,962","5,735,582,780","1,335,035,717","328,431,544","7,399,050,042"
Cigna Finans Emeklilik ve Hayat,"503,325","3,244,990,060","611,461,794","2,686,851,503",514,"446,487","84,371","8,776","539,634","2,193,809,639","419,728,786","12,273,857","2,625,812,281"
Fiba Emeklilik ve Hayat,"486,110","6,882,398,182","781,535,707","5,275,803,438","1,613","441,837","100,345","29,849","572,031","3,925,584,008","1,059,009,317","250,777,226","5,235,370,551"
Garanti Emeklilik ve Hayat,"6,031,777","53,136,307,392","7,977,546,353","41,356,262,495","51,834","5,162,164","840,551","415,981","6,418,696","31,020,158,796","8,198,483,120","1,288,694,620","40,507,336,535"
Groupama Emeklilik,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,605,379","14,582,876,892","2,646,622,947","12,639,971,133","1,253","1,529,101","1,148,496","285,743","2,963,340","5,716,948,553","6,030,265,947","775,392,388","12,522,606,889"
Kat?l?m Emeklilik ve Hayat,"1,052,543","4,788,327,124","965,816,421","4,248,308,008",267,"913,979","243,054","261,408","1,418,441","3,011,369,674","834,701,504","298,227,466","4,144,298,644"
Metlife Emeklilik ve Hayat,"946,832","6,808,455,841","1,169,681,534","5,783,694,472","1,652","780,418","175,076","85,793","1,041,287","4,067,126,433","997,417,231","634,117,440","5,698,661,104"
NN Hayat ve Emeklilik,"1,322,323","13,065,616,284","1,875,203,995","10,020,335,197","19,783","1,324,965","164,177","51,421","1,540,563","8,497,320,901","1,223,936,996","151,036,977","9,872,294,874"
Vak?f Emeklilik ve Hayat,"2,562,884","27,662,019,073","3,776,983,237","21,397,543,868","32,595","3,205,910","377,245","147,556","3,730,711","16,015,160,658","4,473,381,900","712,240,696","21,200,783,254"
Ziraat Hayat ve Emeklilik,"3,032,613","15,844,296,946","2,975,147,863","13,497,228,705","4,653","2,060,206","1,105,208","268,315","3,433,729","7,991,702,340","4,036,661,896","1,270,352,937","13,298,717,174"
Grand Total,"34,860,736","356,412,905,948","51,226,009,950","277,915,813,527","369,953","30,672,835","7,481,600","3,071,044","41,225,479","206,812,304,390","54,858,031,914","12,058,915,846","273,729,252,151"
