, , , , , ,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL)
Emeklilik ?irketi,Kat?l?mc? Say?s?,Kat?l?mc?lar?n Fon Tutar? (TL),Devlet Katk?s? Fon Tutar? (TL),Katk? Pay? Tutar? (TL),Emekli Olan Kat?l?mc? Say?s?,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam
Aegon Emeklilik ve Hayat,"206,345","722,157,657","77,659,463","522,495,285","2,040","162,032","69,229","4,359","235,620","408,679,649","92,286,131","8,637,899","509,603,680"
Allianz Hayat ve Emeklilik,"551,342","10,870,896,715","1,394,372,852","8,073,706,836","14,420","525,998","86,366","22,132","634,496","6,529,981,861","1,237,083,029","229,064,307","7,996,129,197"
Allianz Ya?am ve Emeklilik,"3,874,096","45,091,543,068","5,091,241,889","33,411,873,911","38,871","3,175,486","688,633","786,796","4,650,915","23,091,816,535","7,248,892,936","2,562,145,542","32,902,855,013"
Anadolu Hayat Emeklilik,"5,707,616","60,488,132,902","9,425,042,376","47,148,807,364","76,024","4,823,944","1,599,481","167,425","6,590,850","34,543,403,447","10,914,740,374","1,007,321,758","46,465,465,579"
Avivasa Emeklilik ve Hayat,"4,428,842","64,209,955,699","8,601,628,120","49,976,137,881","61,975","5,025,603","332,272","231,798","5,589,673","42,679,651,338","4,652,218,164","1,806,357,250","49,138,226,752"
Axa Hayat ve Emeklilik,"174,486","1,448,316,829","286,589,455","1,213,426,088",196,"205,286","6,534","2,481","214,301","1,132,935,605","46,100,194","18,282,504","1,197,318,304"
Bereket Emeklilik ve Hayat,"559,157","1,596,243,251","342,091,951","1,274,029,591",105,"166,888","273,419","141,895","582,202","557,384,088","661,204,829","45,863,833","1,264,452,751"
BNP Paribas Cardif Emeklilik,"915,230","8,919,970,238","1,249,799,448","7,109,144,099","8,444","733,462","237,955","133,919","1,105,336","5,479,215,353","1,235,700,587","313,923,640","7,028,839,581"
Cigna Finans Emeklilik ve Hayat,"542,438","3,210,429,652","596,925,910","2,651,369,968",423,"479,841","93,511","9,510","582,862","2,168,786,603","412,296,686","13,319,447","2,594,402,735"
Fiba Emeklilik ve Hayat,"211,011","2,175,725,596","268,997,839","1,889,022,928",735,"166,330","61,593","24,414","252,337","1,025,164,948","629,007,750","222,536,460","1,876,709,158"
Garanti Emeklilik ve Hayat,"5,980,073","49,579,537,849","7,404,175,864","38,800,019,750","41,644","5,101,225","888,619","382,714","6,372,558","29,038,264,927","7,842,416,546","1,200,102,538","38,080,784,011"
Groupama Emeklilik,"285,346","4,298,182,423","470,648,250","3,083,877,946","13,451","280,241","38,025","4,795","323,061","2,705,088,698","333,813,360","14,003,432","3,052,905,491"
Halk Hayat ve Emeklilik,"2,463,861","12,905,696,666","2,379,473,118","11,251,839,929",996,"1,366,189","1,143,568","279,170","2,788,927","4,922,119,117","5,561,974,482","674,090,778","11,158,184,377"
Kat?l?m Emeklilik ve Hayat,"949,812","3,892,992,268","777,592,254","3,542,735,270",205,"746,172","243,220","253,074","1,242,466","2,485,228,195","727,666,579","253,557,348","3,466,452,122"
Metlife Emeklilik ve Hayat,"942,670","6,329,240,011","1,069,798,535","5,358,079,627","1,317","767,781","179,931","87,749","1,035,461","3,747,932,438","930,158,275","611,253,547","5,289,344,259"
NN Hayat ve Emeklilik,"1,334,260","12,240,934,822","1,753,450,616","9,416,399,725","16,683","1,323,131","173,959","52,589","1,549,679","7,933,537,618","1,194,579,667","151,852,346","9,279,969,630"
Vak?f Emeklilik ve Hayat,"2,425,669","25,131,622,312","3,459,126,428","19,824,658,160","26,786","2,982,564","384,664","145,267","3,512,495","14,662,758,503","4,324,397,313","658,092,858","19,645,248,674"
Ziraat Hayat ve Emeklilik,"2,857,226","13,794,103,188","2,619,233,203","11,851,320,084","3,771","1,940,305","1,039,440","267,046","3,246,791","7,143,078,396","3,479,332,224","1,097,251,621","11,719,662,240"
Grand Total,"34,409,480","326,905,681,144","47,267,847,572","256,398,944,441","308,086","29,972,478","7,540,419","2,997,133","40,510,030","190,255,027,319","51,523,869,126","10,887,657,108","252,666,553,552"
