Aegon Emeklilik ve Hayat,"199,491","646,032,953","68,679,085","483,755,082","2,726","155,876","67,443","4,250","227,569","373,956,062","90,173,613","8,451,350","472,581,025"
Allianz Hayat ve Emeklilik,"527,787","11,680,119,339","1,388,459,993","8,685,040,077","16,623","508,053","81,365","21,873","611,291","7,079,366,659","1,279,138,468","244,019,912","8,602,525,039"
Allianz Ya?am ve Emeklilik,"3,828,409","49,547,898,165","5,064,509,615","37,109,170,429","47,942","3,143,734","647,105","808,075","4,598,914","25,575,169,062","7,711,779,110","3,263,567,845","36,550,516,017"
Anadolu Hayat Emeklilik,"5,693,584","66,216,248,711","9,580,561,077","52,090,950,945","100,230","4,856,742","1,586,075","180,595","6,623,412","38,487,362,284","11,810,803,897","1,091,269,279","51,389,435,460"
Avivasa Emeklilik ve Hayat,"4,338,984","70,481,024,589","8,814,826,376","55,226,754,427","76,711","4,935,106","335,491","234,321","5,504,918","47,459,572,495","4,878,960,946","1,939,196,863","54,277,730,304"
Axa Hayat ve Emeklilik,"178,785","1,664,525,764","304,471,317","1,401,522,742",240,"214,841","6,099","2,323","223,263","1,316,819,051","51,989,109","14,168,411","1,382,976,571"
Bereket Emeklilik ve Hayat,"524,635","1,671,000,327","337,706,801","1,289,050,644",135,"154,303","256,114","138,762","549,179","544,349,122","693,349,431","42,446,377","1,280,144,930"
BNP Paribas Cardif Emeklilik,"936,545","9,465,788,185","1,272,942,043","7,594,510,147","10,490","782,746","226,655","125,014","1,134,415","5,810,703,423","1,356,487,192","335,660,438","7,502,851,054"
Cigna Finans Emeklilik ve Hayat,"491,168","3,143,449,913","572,204,388","2,687,809,762",534,"436,689","81,446","8,606","526,741","2,196,887,439","416,434,811","12,076,897","2,625,399,147"
Fiba Emeklilik ve Hayat,"483,061","6,851,753,663","726,997,283","5,336,083,211","2,474","440,851","98,728","29,292","568,871","3,988,595,761","1,056,376,965","252,033,028","5,297,005,754"
Garanti Emeklilik ve Hayat,"5,979,845","52,923,874,300","7,600,717,060","41,987,716,251","55,371","5,127,325","819,777","414,900","6,362,002","31,546,921,192","8,266,287,174","1,300,858,916","41,114,067,282"
Groupama Emeklilik,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,649,925","14,890,548,591","2,553,603,395","13,078,979,809","1,348","1,582,747","1,145,873","291,166","3,019,786","5,997,440,321","6,148,161,305","808,260,729","12,953,862,355"
Kat?l?m Emeklilik ve Hayat,"1,069,873","5,034,515,941","1,013,434,960","4,450,425,767",288,"943,839","244,619","262,569","1,451,027","3,163,890,611","864,343,707","306,731,705","4,334,966,023"
Metlife Emeklilik ve Hayat,"954,528","6,747,289,477","1,124,773,857","5,895,438,769","1,770","792,013","173,143","85,430","1,050,586","4,144,986,981","1,008,261,534","646,880,199","5,800,128,714"
NN Hayat ve Emeklilik,"1,315,584","13,013,126,851","1,760,897,953","10,160,147,667","20,970","1,323,621","160,524","51,295","1,535,440","8,628,000,922","1,226,470,952","153,576,828","10,008,048,702"
Vak?f Emeklilik ve Hayat,"2,604,932","28,257,394,745","3,626,701,494","21,809,032,982","34,843","3,261,350","375,149","151,379","3,787,878","16,406,288,553","4,464,417,250","735,446,841","21,606,152,643"
Ziraat Hayat ve Emeklilik,"3,112,296","16,220,689,268","2,935,536,696","14,085,992,065","4,932","2,124,944","1,124,145","268,173","3,517,262","8,316,122,823","4,217,676,775","1,332,970,332","13,866,769,931"
Grand Total,"34,889,432","358,455,280,784","48,747,023,393","283,372,380,777","392,497","30,784,780","7,429,751","3,078,023","41,292,554","211,036,432,761","55,541,112,240","12,487,615,950","279,065,160,951"
