Aegon Emeklilik ve Hayat,"208,017","741,043,440","78,728,992","526,267,219","1,816","163,934","69,408","4,347","237,689","412,847,597","91,557,177","8,491,466","512,896,241"
Allianz Hayat ve Emeklilik,"563,007","10,520,471,435","1,406,037,269","7,841,211,692","13,716","536,925","88,448","22,277","647,650","6,313,369,024","1,226,829,495","225,149,997","7,765,348,517"
Allianz Ya?am ve Emeklilik,"3,890,201","43,033,814,271","5,086,545,199","32,086,110,890","36,101","3,182,071","707,046","791,207","4,680,324","22,129,548,291","7,068,291,419","2,395,861,366","31,593,701,076"
Anadolu Hayat Emeklilik,"5,670,306","58,000,798,736","9,282,916,368","45,336,384,034","73,980","4,781,980","1,608,650","155,147","6,545,777","33,171,385,594","10,545,857,247","973,155,471","44,690,398,313"
Avivasa Emeklilik ve Hayat,"4,427,925","61,067,022,010","8,488,350,551","47,519,548,052","57,822","5,022,539","327,877","224,636","5,575,052","40,446,585,592","4,526,495,616","1,737,107,047","46,710,188,255"
Axa Hayat ve Emeklilik,"173,218","1,370,686,989","280,425,562","1,155,952,476",181,"202,041","6,680","2,600","211,321","1,071,065,604","43,917,501","25,781,274","1,140,764,380"
Bereket Emeklilik ve Hayat,"571,919","1,586,455,533","353,674,212","1,290,277,808",105,"171,767","281,639","142,410","595,816","564,179,228","670,449,834","45,852,603","1,280,481,665"
BNP Paribas Cardif Emeklilik,"923,319","8,696,236,975","1,228,366,190","6,909,172,482","7,797","738,240","239,652","137,056","1,114,948","5,340,445,492","1,188,946,600","301,719,052","6,831,111,144"
Cigna Finans Emeklilik ve Hayat,"560,134","3,185,703,363","599,262,102","2,612,960,112",371,"495,238","98,131","9,589","602,958","2,139,327,849","406,365,297","13,114,290","2,558,807,436"
Fiba Emeklilik ve Hayat,"210,026","2,038,389,000","254,479,792","1,750,190,525",681,"164,644","60,269","25,009","249,922","942,309,734","572,596,669","222,754,627","1,737,661,029"
Garanti Emeklilik ve Hayat,"5,954,503","48,010,875,971","7,283,208,221","37,329,998,747","38,626","5,071,446","910,444","370,544","6,352,434","27,881,314,284","7,603,713,009","1,159,656,413","36,644,683,706"
Groupama Emeklilik,"292,177","4,260,469,720","477,662,529","3,058,500,279","12,510","287,501","38,991","4,856","331,348","2,683,302,941","329,832,529","13,505,733","3,026,641,203"
Halk Hayat ve Emeklilik,"2,378,172","12,149,674,889","2,302,605,021","10,512,221,042",900,"1,268,712","1,155,664","266,825","2,691,201","4,520,375,515","5,290,152,952","619,672,776","10,430,201,243"
Kat?l?m Emeklilik ve Hayat,"887,838","3,531,264,580","712,227,225","3,235,222,716",172,"644,615","239,034","252,189","1,135,838","2,247,278,215","681,663,668","239,708,751","3,168,650,634"
Metlife Emeklilik ve Hayat,"931,617","6,121,098,352","1,047,768,765","5,114,797,396","1,191","757,234","178,481","88,205","1,023,920","3,567,264,529","893,380,549","591,035,012","5,051,680,090"
NN Hayat ve Emeklilik,"1,329,761","11,865,771,605","1,706,190,689","9,084,516,554","15,619","1,309,957","179,606","53,128","1,542,691","7,626,620,587","1,180,189,492","146,173,647","8,952,983,726"
Vak?f Emeklilik ve Hayat,"2,376,241","24,029,734,427","3,344,338,567","19,195,759,061","24,895","2,874,505","388,418","144,258","3,407,181","14,109,117,446","4,276,506,614","638,562,353","19,024,186,413"
Ziraat Hayat ve Emeklilik,"2,784,346","12,836,440,620","2,503,672,560","11,013,739,531","3,452","1,889,070","1,014,438","268,717","3,172,225","6,664,191,536","3,211,087,010","1,023,737,384","10,899,015,931"
Grand Total,"34,132,727","313,045,951,916","46,436,459,814","245,572,830,614","289,935","29,562,419","7,592,876","2,963,000","40,118,295","181,830,529,059","49,807,832,677","10,381,039,262","242,019,401,000"
