, , , , , ,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL)
Emeklilik ?irketi,Kat?l?mc? Say?s?,Kat?l?mc?lar?n Fon Tutar? (TL),Devlet Katk?s? Fon Tutar? (TL),Katk? Pay? Tutar? (TL),Emekli Olan Kat?l?mc? Say?s?,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam
Aegon Emeklilik ve Hayat,"190,152","611,506,256","67,839,095","421,865,221","3,548","148,363","64,365","3,809","216,537","319,679,710","87,237,093","5,838,777","412,755,580"
Allianz Hayat ve Emeklilik,"481,356","13,214,875,759","1,570,373,615","9,138,890,773","20,085","467,530","72,801","20,533","560,864","7,544,182,348","1,254,625,001","253,111,861","9,051,919,210"
Allianz Ya?am ve Emeklilik,"3,669,086","57,221,671,850","5,821,615,226","39,702,385,392","60,407","3,024,103","582,606","784,517","4,391,226","27,067,180,868","7,957,960,141","4,068,342,417","39,093,483,427"
Anadolu Hayat Emeklilik,"5,497,695","76,658,449,872","11,486,918,868","56,281,272,185","125,622","4,755,282","1,516,826","178,582","6,450,690","41,953,057,482","12,432,976,869","1,146,507,706","55,532,542,057"
Avivasa Emeklilik ve Hayat,"4,002,547","79,492,806,932","10,172,054,985","57,313,527,725","98,649","4,546,538","309,337","226,412","5,082,287","49,262,807,444","4,912,265,667","2,067,838,848","56,242,911,959"
Axa Hayat ve Emeklilik,"171,986","1,969,908,160","359,658,996","1,517,680,075",343,"209,772","5,585","2,206","217,563","1,423,000,815","57,088,981","17,044,377","1,497,134,173"
Bereket Emeklilik ve Hayat,"478,521","1,733,910,601","333,978,388","1,207,339,774",178,"138,015","228,650","136,108","502,773","508,579,287","648,826,820","42,298,085","1,199,704,191"
BNP Paribas Cardif Emeklilik,"909,863","10,633,935,074","1,448,414,483","7,788,050,367","12,840","780,560","202,669","114,561","1,097,790","5,945,585,709","1,402,907,568","329,965,012","7,678,458,289"
Cigna Finans Emeklilik ve Hayat,"430,422","3,221,830,905","595,974,985","2,543,831,691",929,"386,144","67,315","7,537","460,996","2,092,794,924","381,487,265","9,028,583","2,483,310,773"
Fiba Emeklilik ve Hayat,"462,243","7,754,552,639","863,463,757","5,575,743,131","7,181","426,367","93,214","27,938","547,519","4,211,414,967","1,060,611,020","270,530,424","5,542,556,411"
Garanti Emeklilik ve Hayat,"5,588,842","59,646,690,476","8,773,993,495","43,552,424,535","72,988","4,805,611","738,611","400,805","5,945,027","32,722,610,979","8,399,869,973","1,439,147,748","42,561,628,700"
Groupama Hayat,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,769,327","18,565,509,513","3,231,652,972","15,072,287,494","1,778","1,787,764","1,096,110","278,358","3,162,232","7,283,289,171","6,713,841,922","917,402,204","14,914,533,297"
Kat?l?m Emeklilik ve Hayat,"1,239,018","6,811,046,027","1,393,231,565","5,576,653,966",497,"1,165,674","280,590","312,998","1,759,262","3,983,965,809","1,020,317,898","389,934,372","5,394,218,080"
Metlife Emeklilik ve Hayat,"923,461","7,402,718,502","1,270,802,287","6,049,005,650","2,467","776,532","158,305","83,495","1,018,332","4,217,796,156","1,019,447,556","684,928,131","5,922,171,843"
NN Hayat ve Emeklilik,"1,276,390","14,915,898,676","2,036,254,842","10,859,542,386","27,140","1,305,602","142,993","51,139","1,499,734","9,302,070,873","1,227,492,818","157,021,988","10,686,585,679"
Vak?f Emeklilik ve Hayat,"2,712,552","33,791,339,788","4,511,533,848","23,762,504,689","44,955","3,317,512","372,930","206,203","3,896,645","18,033,193,078","4,581,983,411","918,948,970","23,534,125,459"
Ziraat Hayat ve Emeklilik,"3,252,916","20,435,389,491","3,763,838,118","16,627,023,690","6,666","2,223,070","1,170,954","267,797","3,661,821","9,629,087,152","4,987,573,139","1,658,798,002","16,275,458,293"
Grand Total,"34,056,377","414,082,040,521","57,701,599,527","302,990,028,743","501,143","30,264,439","7,103,861","3,102,998","40,471,298","225,500,296,773","58,146,513,141","14,376,687,507","298,023,497,421"
