, , , , , ,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL)
Emeklilik ?irketi,Kat?l?mc? Say?s?,Kat?l?mc?lar?n Fon Tutar? (TL),Devlet Katk?s? Fon Tutar? (TL),Katk? Pay? Tutar? (TL),Emekli Olan Kat?l?mc? Say?s?,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam
Aegon Emeklilik ve Hayat,"243,581","874,726,176","95,281,953","610,452,569","2,851","190,784","82,059","5,147","277,990","476,219,635","109,594,003","10,144,859","595,958,498"
Allianz Hayat ve Emeklilik,"644,706","13,827,307,476","1,815,448,759","10,134,964,380","18,438","617,858","100,770","26,452","745,080","8,233,249,634","1,520,719,408","284,975,260","10,038,944,302"
Allianz Ya?am ve Emeklilik,"4,622,293","57,557,841,807","6,643,434,382","42,567,752,371","51,630","3,793,011","799,868","955,396","5,548,275","29,456,829,126","9,016,843,922","3,455,441,429","41,929,114,477"
Anadolu Hayat Emeklilik,"6,889,806","77,918,165,734","12,428,771,981","60,140,244,707","106,264","5,855,585","1,923,498","206,860","7,985,943","44,318,552,837","13,729,970,895","1,239,497,237","59,288,020,969"
Avivasa Emeklilik ve Hayat,"5,267,474","82,456,843,393","11,400,154,650","63,594,153,685","81,720","5,988,544","404,650","280,303","6,673,497","54,532,834,103","5,735,782,890","2,237,944,110","62,506,561,102"
Axa Hayat ve Emeklilik,"213,651","1,926,728,969","383,184,457","1,579,641,052",260,"254,820","7,598","2,833","265,251","1,484,757,377","57,940,265","16,072,885","1,558,770,528"
Bereket Emeklilik ve Hayat,"652,602","2,006,014,294","427,272,903","1,568,539,612",132,"192,467","319,198","171,517","683,182","661,660,114","842,141,110","53,630,148","1,557,431,373"
BNP Paribas Cardif Emeklilik,"1,100,451","11,330,735,780","1,639,034,590","8,876,421,926","11,165","896,295","279,590","153,282","1,329,167","6,826,098,518","1,562,169,095","386,805,727","8,775,073,340"
Cigna Finans Emeklilik ve Hayat,"620,583","4,025,088,067","755,459,950","3,222,527,797",594,"549,491","105,155","10,906","665,552","2,632,962,461","503,373,753","14,776,310","3,151,112,524"
Fiba Emeklilik ve Hayat,"366,424","4,776,117,307","575,927,467","3,806,143,697","1,069","313,181","90,986","31,901","436,068","2,511,819,277","982,995,356","284,926,017","3,779,740,650"
Garanti Emeklilik ve Hayat,"7,264,531","63,123,237,891","9,700,402,702","48,632,845,618","57,491","6,202,356","1,030,482","501,027","7,733,865","36,439,901,193","9,706,643,130","1,519,867,983","47,666,412,306"
Groupama Emeklilik,"218,315","3,432,486,974","388,241,001","2,412,423,561","17,778","213,838","29,426","3,766","247,030","2,108,884,378","268,570,215","11,705,363","2,389,159,957"
Halk Hayat ve Emeklilik,"3,056,769","16,951,378,567","3,186,059,210","14,582,930,688","1,340","1,762,498","1,367,679","341,813","3,471,990","6,521,734,969","7,040,246,561","889,693,826","14,451,675,356"
Kat?l?m Emeklilik ve Hayat,"1,225,335","5,391,640,365","1,095,631,457","4,828,435,341",294,"1,029,840","291,265","319,734","1,640,839","3,403,217,294","958,778,747","354,760,796","4,716,756,836"
Metlife Emeklilik ve Hayat,"1,124,675","8,189,042,441","1,409,667,767","6,795,975,008","1,835","922,043","210,595","103,145","1,235,783","4,778,922,891","1,177,569,338","746,063,162","6,702,555,390"
NN Hayat ve Emeklilik,"1,596,681","15,634,588,917","2,313,057,889","11,865,432,638","22,263","1,596,326","200,525","61,600","1,858,451","10,045,501,872","1,467,601,804","179,236,372","11,692,340,048"
Vak?f Emeklilik ve Hayat,"3,011,446","32,058,934,841","4,573,638,128","25,080,238,374","35,904","3,762,396","456,296","178,123","4,396,815","18,643,514,072","5,372,741,060","834,419,804","24,850,674,937"
Ziraat Hayat ve Emeklilik,"3,583,164","18,486,114,535","3,556,178,156","15,571,977,828","5,108","2,435,779","1,304,186","321,361","4,061,326","9,269,541,517","4,640,076,907","1,451,373,216","15,360,991,639"
Grand Total,"41,702,487","419,966,993,532","62,386,847,400","325,871,100,849","416,136","36,577,112","9,003,826","3,675,166","49,256,104","242,346,201,269","64,693,758,458","13,971,334,504","321,011,294,231"
