ALFA ROMEO,,50,50,,,0,0,50,50
ASTON MARTIN,,,0,,,0,0,0,0
AUDI,,742,742,,,0,0,742,742
BENTLEY,,1,1,,,0,0,1,1
BMW,,445,445,,,0,0,445,445
CITROEN,,453,453,,281,281,0,734,734
DACIA,,970,970,,136,136,0,"1,106","1,106"
DS,,8,8,,,0,0,8,8
FERRARI,,3,3,,,0,0,3,3
FIAT,"4,336",157,"4,493",970,72,"1,042","5,306",229,"5,535"
FORD,52,676,728,"1,989",36,"2,025","2,041",712,"2,753"
HONDA,"1,423",276,"1,699",,,0,"1,423",276,"1,699"
HYUNDAI,673,"1,141","1,814",,88,88,673,"1,229","1,902"
INFINITI,,0,0,,,0,0,0,0
ISUZU,,,0,121,1,122,121,1,122
IVECO,,,0,,95,95,0,95,95
JAGUAR,,10,10,,,0,0,10,10
JEEP,,92,92,,,0,0,92,92
KARSAN,,,0,35,,35,35,0,35
KIA,,204,204,,84,84,0,288,288
LAMBORGHINI,,1,1,,,0,0,1,1
LAND ROVER,,59,59,,,0,0,59,59
LEXUS,,2,2,,,0,0,2,2
MASERATI,,6,6,,,0,0,6,6
MAZDA,,45,45,,,0,0,45,45
MERCEDES-BENZ,,728,728,,457,457,0,"1,185","1,185"
MINI,,92,92,,,0,0,92,92
MITSUBISHI,,30,30,0,103,103,0,133,133
NISSAN,,806,806,,26,26,0,832,832
OPEL,,866,866,,41,41,0,907,907
PEUGEOT,,"1,692","1,692",,379,379,0,"2,071","2,071"
PORSCHE,,31,31,,,0,0,31,31
RENAULT,"4,178",552,"4,730",,191,191,"4,178",743,"4,921"
SEAT,,295,295,,,0,0,295,295
SKODA,,778,778,,,0,0,778,778
SMART,,3,3,,,0,0,3,3
SSANGYONG,,9,9,,25,25,0,34,34
SUBARU,,45,45,,,0,0,45,45
SUZUKI,,245,245,,,0,0,245,245
TOYOTA,"2,452",103,"2,555",,71,71,"2,452",174,"2,626"
VOLKSWAGEN,,"2,096","2,096",,689,689,0,"2,785","2,785"
VOLVO,,300,300,,,0,0,300,300
