ALFA ROMEO,,32,32,,,0,0,32,32
ASTON MARTIN,,4,4,,,0,0,4,4
AUDI,,"1,541","1,541",,,0,0,"1,541","1,541"
BENTLEY,,3,3,,,0,0,3,3
BMW,,"1,806","1,806",,,0,0,"1,806","1,806"
CHERY,,,0,,,0,0,0,0
CITROEN,,"1,519","1,519",88,528,616,88,"2,047","2,135"
DACIA,,"3,116","3,116",,502,502,0,"3,618","3,618"
DS,,32,32,,,0,0,32,32
FERRARI,,1,1,,,0,0,1,1
FIAT,"3,491",212,"3,703","2,790",521,"3,311","6,281",733,"7,014"
FORD,438,"1,813","2,251","4,927",344,"5,271","5,365","2,157","7,522"
GEELY,,,0,,,0,0,0,0
HONDA,389,852,"1,241",,,0,389,852,"1,241"
HYUNDAI,"1,778","1,947","3,725",,176,176,"1,778","2,123","3,901"
INFINITI,,11,11,,,0,0,11,11
ISUZU,,,0,232,24,256,232,24,256
IVECO,,,0,,161,161,0,161,161
JAGUAR,,42,42,,,0,0,42,42
JEEP,,169,169,,,0,0,169,169
KARSAN,,,0,76,,76,76,0,76
KIA,,954,954,,209,209,0,"1,163","1,163"
LAMBORGHINI,,,0,,,0,0,0,0
LANCIA,,0,0,,,0,0,0,0
LAND ROVER,,169,169,,,0,0,169,169
LEXUS,,4,4,,,0,0,4,4
MASERATI,,5,5,,,0,0,5,5
MAZDA,,88,88,,,0,0,88,88
MERCEDES-BENZ,,"2,758","2,758",,553,553,0,"3,311","3,311"
MINI,,147,147,,,0,0,147,147
MITSUBISHI,,50,50,46,240,286,46,290,336
NISSAN,,"1,957","1,957",,116,116,0,"2,073","2,073"
OPEL,,"3,336","3,336",,,0,0,"3,336","3,336"
OTOKAR,,,0,,,0,0,0,0
PEUGEOT,,"2,178","2,178",215,472,687,215,"2,650","2,865"
PORSCHE,,70,70,,,0,0,70,70
PROTON,,,0,,,0,0,0,0
RENAULT,"2,806","2,471","5,277",,"1,189","1,189","2,806","3,660","6,466"
SEAT,,"1,496","1,496",,,0,0,"1,496","1,496"
SKODA,,"1,854","1,854",,,0,0,"1,854","1,854"
SMART,,14,14,,,0,0,14,14
SSANGYONG,,47,47,,17,17,0,64,64
SUBARU,,101,101,,,0,0,101,101
SUZUKI,,462,462,,,0,0,462,462
TATA,,,0,,,0,0,0,0
TOYOTA,"2,069",858,"2,927",,543,543,"2,069","1,401","3,470"
VOLKSWAGEN,,"8,028","8,028",,"2,284","2,284",0,"10,312","10,312"
VOLVO,,222,222,,,0,0,222,222
