ALFA ROMEO,,27,27,,,0,0,27,27
ASTON MARTIN,,7,7,,,0,0,7,7
AUDI,,"3,124","3,124",,,0,0,"3,124","3,124"
BENTLEY,,4,4,,,0,0,4,4
BMW,,"3,498","3,498",,,0,0,"3,498","3,498"
CHERY,,,0,,,0,0,0,0
CITROEN,,655,655,0,694,694,0,"1,349","1,349"
DACIA,,"6,685","6,685",,764,764,0,"7,449","7,449"
DS,,30,30,,,0,0,30,30
FERRARI,,3,3,,,0,0,3,3
FIAT,"7,947",401,"8,348","8,821","1,023","9,844","16,768","1,424","18,192"
FORD,706,"3,840","4,546","11,642",676,"12,318","12,348","4,516","16,864"
GEELY,,,0,,,0,0,0,0
HONDA,"2,638","1,145","3,783",,,0,"2,638","1,145","3,783"
HYUNDAI,"3,068","3,360","6,428",,226,226,"3,068","3,586","6,654"
INFINITI,,22,22,,,0,0,22,22
ISUZU,,,0,489,76,565,489,76,565
IVECO,,,0,,372,372,0,372,372
JAGUAR,,33,33,,,0,0,33,33
JEEP,,330,330,,,0,0,330,330
KARSAN,,,0,230,,230,230,0,230
KIA,,"1,136","1,136",,506,506,0,"1,642","1,642"
LAMBORGHINI,,1,1,,,0,0,1,1
LAND ROVER,,241,241,,,0,0,241,241
LEXUS,,9,9,,,0,0,9,9
MASERATI,,10,10,,,0,0,10,10
MAZDA,,214,214,,,0,0,214,214
MERCEDES-BENZ,,"2,929","2,929",,"1,392","1,392",0,"4,321","4,321"
MINI,,210,210,,,0,0,210,210
MITSUBISHI,,46,46,74,797,871,74,843,917
NISSAN,,"5,225","5,225",,417,417,0,"5,642","5,642"
OPEL,,"4,594","4,594",,,0,0,"4,594","4,594"
OTOKAR,,,0,,,0,0,0,0
PEUGEOT,,"4,594","4,594",0,"1,649","1,649",0,"6,243","6,243"
PORSCHE,,65,65,,,0,0,65,65
RENAULT,"11,420","4,820","16,240",,"2,814","2,814","11,420","7,634","19,054"
SEAT,,"1,363","1,363",,,0,0,"1,363","1,363"
SKODA,,"3,626","3,626",,,0,0,"3,626","3,626"
SMART,,1,1,,,0,0,1,1
SSANGYONG,,35,35,,9,9,0,44,44
SUBARU,,269,269,,,0,0,269,269
SUZUKI,,771,771,,,0,0,771,771
TOYOTA,"5,851","1,024","6,875",,585,585,"5,851","1,609","7,460"
VOLKSWAGEN,,"13,003","13,003",,"3,290","3,290",0,"16,293","16,293"
VOLVO,,714,714,,,0,0,714,714
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
