ALFA ROMEO,,19,19,,,0,0,19,19
ASTON MARTIN,,1,1,,,0,0,1,1
AUDI,,"1,055","1,055",,,0,0,"1,055","1,055"
BENTLEY,,2,2,,,0,0,2,2
BMW,,"1,285","1,285",,,0,0,"1,285","1,285"
CHERY,,,0,,,0,0,0,0
CITROEN,,"1,321","1,321",0,682,682,0,"2,003","2,003"
DACIA,,"3,467","3,467",,538,538,0,"4,005","4,005"
DS,,1,1,,,0,0,1,1
FERRARI,,3,3,,,0,0,3,3
FIAT,"4,881",184,"5,065","3,885",677,"4,562","8,766",861,"9,627"
FORD,155,"2,826","2,981","4,184",423,"4,607","4,339","3,249","7,588"
GEELY,,,0,,,0,0,0,0
HONDA,"1,155",510,"1,665",,,0,"1,155",510,"1,665"
HYUNDAI,"1,415","2,299","3,714",,248,248,"1,415","2,547","3,962"
INFINITI,,13,13,,,0,0,13,13
ISUZU,,,0,159,16,175,159,16,175
IVECO,,,0,,221,221,0,221,221
JAGUAR,,34,34,,,0,0,34,34
JEEP,,174,174,,,0,0,174,174
KARSAN,,,0,112,,112,112,0,112
KIA,,920,920,,209,209,0,"1,129","1,129"
LAMBORGHINI,,0,0,,,0,0,0,0
LAND ROVER,,170,170,,,0,0,170,170
LEXUS,,2,2,,,0,0,2,2
MASERATI,,6,6,,,0,0,6,6
MAZDA,,120,120,,,0,0,120,120
MERCEDES-BENZ,,"2,324","2,324",,845,845,0,"3,169","3,169"
MINI,,133,133,,,0,0,133,133
MITSUBISHI,,25,25,24,228,252,24,253,277
NISSAN,,"2,429","2,429",,233,233,0,"2,662","2,662"
OPEL,,"3,564","3,564",,,0,0,"3,564","3,564"
OTOKAR,,,0,,,0,0,0,0
PEUGEOT,,"2,412","2,412",0,805,805,0,"3,217","3,217"
PORSCHE,,37,37,,,0,0,37,37
RENAULT,"4,817","3,714","8,531",,"1,375","1,375","4,817","5,089","9,906"
SEAT,,"1,030","1,030",,,0,0,"1,030","1,030"
SKODA,,"1,937","1,937",,,0,0,"1,937","1,937"
SMART,,6,6,,,0,0,6,6
SSANGYONG,,24,24,,49,49,0,73,73
SUBARU,,131,131,,,0,0,131,131
SUZUKI,,458,458,,,0,0,458,458
TOYOTA,"2,033",501,"2,534",,328,328,"2,033",829,"2,862"
VOLKSWAGEN,,"6,957","6,957",,"2,405","2,405",0,"9,362","9,362"
VOLVO,,340,340,,,0,0,340,340
