ALFA ROMEO,,37,37,,,0,0,37,37
ASTON MARTIN,,1,1,,,0,0,1,1
AUDI,,"2,448","2,448",,,0,0,"2,448","2,448"
BENTLEY,,1,1,,,0,0,1,1
BMW,,"2,205","2,205",,,0,0,"2,205","2,205"
CHERY,,0,0,,,0,0,0,0
CITROEN,,"1,381","1,381",126,636,762,126,"2,017","2,143"
DACIA,,"3,989","3,989",,249,249,0,"4,238","4,238"
DS,,17,17,,,0,0,17,17
FERRARI,,1,1,,,0,0,1,1
FIAT,"4,390",207,"4,597","4,036",495,"4,531","8,426",702,"9,128"
FORD,647,"2,467","3,114","5,216",510,"5,726","5,863","2,977","8,840"
GEELY,,,0,,,0,0,0,0
HONDA,"1,352",606,"1,958",,,0,"1,352",606,"1,958"
HYUNDAI,"1,845","2,254","4,099",,214,214,"1,845","2,468","4,313"
INFINITI,,12,12,,,0,0,12,12
ISUZU,,,0,92,96,188,92,96,188
IVECO,,,0,,199,199,0,199,199
JAGUAR,,50,50,,,0,0,50,50
JEEP,,192,192,,,0,0,192,192
KARSAN,,,0,84,,84,84,0,84
KIA,,"1,092","1,092",,355,355,0,"1,447","1,447"
LAMBORGHINI,,0,0,,,0,0,0,0
LANCIA,,0,0,,,0,0,0,0
LAND ROVER,,136,136,,,0,0,136,136
LEXUS,,7,7,,,0,0,7,7
MASERATI,,12,12,,,0,0,12,12
MAZDA,,88,88,,,0,0,88,88
MERCEDES-BENZ,,"2,378","2,378",,651,651,0,"3,029","3,029"
MINI,,152,152,,,0,0,152,152
MITSUBISHI,,58,58,60,168,228,60,226,286
NISSAN,,"2,329","2,329",,123,123,0,"2,452","2,452"
OPEL,,"4,630","4,630",,,0,0,"4,630","4,630"
OTOKAR,,,0,,,0,0,0,0
PEUGEOT,,"2,295","2,295",115,761,876,115,"3,056","3,171"
PORSCHE,,91,91,,,0,0,91,91
PROTON,,0,0,,0,0,0,0,0
RENAULT,"4,325","3,074","7,399",,"1,483","1,483","4,325","4,557","8,882"
SEAT,,"2,121","2,121",,,0,0,"2,121","2,121"
SKODA,,"2,685","2,685",,,0,0,"2,685","2,685"
SMART,,18,18,,,0,0,18,18
SSANGYONG,,45,45,,49,49,0,94,94
SUBARU,,113,113,,,0,0,113,113
SUZUKI,,575,575,,,0,0,575,575
TATA,,0,0,,0,0,0,0,0
TOYOTA,"2,616","1,302","3,918",,518,518,"2,616","1,820","4,436"
VOLKSWAGEN,,"9,211","9,211",,"3,018","3,018",0,"12,229","12,229"
VOLVO,,291,291,,,0,0,291,291
