ALFA ROMEO,,5,5,,,0,0,5,5
ASTON MARTIN,,1,1,,,0,0,1,1
AUDI,,"1,013","1,013",,,0,0,"1,013","1,013"
BENTLEY,,0,0,,,0,0,0,0
BMW,,626,626,,,0,0,626,626
CHERY,,,0,,,0,0,0,0
CITROEN,,407,407,,94,94,0,501,501
DACIA,,937,937,,254,254,0,"1,191","1,191"
DS,,0,0,,,0,0,0,0
FERRARI,,1,1,,,0,0,1,1
FIAT,"1,979",56,"2,035","1,962",163,"2,125","3,941",219,"4,160"
FORD,229,920,"1,149","2,007",174,"2,181","2,236","1,094","3,330"
HONDA,"1,191",207,"1,398",,,0,"1,191",207,"1,398"
HYUNDAI,805,"1,282","2,087",,119,119,805,"1,401","2,206"
INFINITI,,3,3,,,0,0,3,3
ISUZU,,,0,97,24,121,97,24,121
IVECO,,,0,,122,122,0,122,122
JAGUAR,,12,12,,,0,0,12,12
JEEP,,101,101,,,0,0,101,101
KARSAN,,,0,49,,49,49,0,49
KIA,,431,431,,111,111,0,542,542
LAMBORGHINI,,0,0,,,0,0,0,0
LAND ROVER,,84,84,,,0,0,84,84
LEXUS,,2,2,,,0,0,2,2
MASERATI,,4,4,,,0,0,4,4
MAZDA,,62,62,,,0,0,62,62
MERCEDES-BENZ,,"1,190","1,190",,480,480,0,"1,670","1,670"
MINI,,55,55,,,0,0,55,55
MITSUBISHI,,12,12,21,158,179,21,170,191
NISSAN,,767,767,,95,95,0,862,862
OPEL,,"1,327","1,327",,,0,0,"1,327","1,327"
PEUGEOT,,809,809,,178,178,0,987,987
PORSCHE,,43,43,,,0,0,43,43
RENAULT,"3,637","1,013","4,650",,512,512,"3,637","1,525","5,162"
SEAT,,663,663,,,0,0,663,663
SKODA,,"1,564","1,564",,,0,0,"1,564","1,564"
SMART,,0,0,,,0,0,0,0
SSANGYONG,,26,26,,5,5,0,31,31
SUBARU,,86,86,,,0,0,86,86
SUZUKI,,67,67,,,0,0,67,67
TOYOTA,"1,938",309,"2,247",,210,210,"1,938",519,"2,457"
VOLKSWAGEN,,"2,497","2,497",,"1,630","1,630",0,"4,127","4,127"
VOLVO,,250,250,,,0,0,250,250
