ALFA ROMEO,0,209,209,0,0,0,0,209,209
ASTON MARTIN,0,14,14,0,0,0,0,14,14
AUDI,0,"6,170","6,170",0,0,0,0,"6,170","6,170"
BENTLEY,0,4,4,0,0,0,0,4,4
BMW,0,"5,498","5,498",0,0,0,0,"5,498","5,498"
CITROEN,0,"3,392","3,392",0,"2,054","2,054",0,"5,446","5,446"
DACIA,0,"8,675","8,675",0,"1,511","1,511",0,"10,186","10,186"
DS,0,102,102,0,0,0,0,102,102
FERRARI,0,16,16,0,0,0,0,16,16
FIAT,"32,479",624,"33,103","8,695",876,"9,571","41,174","1,500","42,674"
FORD,"1,155","6,557","7,712","17,616",735,"18,351","18,771","7,292","26,063"
HONDA,"10,601","1,752","12,353",0,0,0,"10,601","1,752","12,353"
HYUNDAI,"4,301","9,398","13,699",0,735,735,"4,301","10,133","14,434"
INFINITI,0,0,0,0,0,0,0,0,0
ISUZU,0,0,0,486,63,549,486,63,549
IVECO,0,0,0,0,723,723,0,723,723
JAGUAR,0,148,148,0,0,0,0,148,148
JEEP,0,"1,175","1,175",0,0,0,0,"1,175","1,175"
KARSAN,0,0,0,308,0,308,308,0,308
KIA,0,"2,830","2,830",0,908,908,0,"3,738","3,738"
LAMBORGHINI,0,7,7,0,0,0,0,7,7
LAND ROVER,0,692,692,0,0,0,0,692,692
LEXUS,0,26,26,0,0,0,0,26,26
MASERATI,0,22,22,0,0,0,0,22,22
MAZDA,0,211,211,0,0,0,0,211,211
MERCEDES-BENZ,0,"6,892","6,892",0,"3,021","3,021",0,"9,913","9,913"
MINI,0,781,781,0,0,0,0,781,781
MITSUBISHI,0,260,260,0,"1,101","1,101",0,"1,361","1,361"
NISSAN,0,"8,052","8,052",0,607,607,0,"8,659","8,659"
OPEL,0,"9,064","9,064",0,504,504,0,"9,568","9,568"
PEUGEOT,0,"12,040","12,040",0,"3,674","3,674",0,"15,714","15,714"
PORSCHE,0,222,222,0,0,0,0,222,222
RENAULT,"35,328","4,647","39,975",0,"2,817","2,817","35,328","7,464","42,792"
SEAT,0,"3,420","3,420",0,0,0,0,"3,420","3,420"
SKODA,0,"8,115","8,115",0,0,0,0,"8,115","8,115"
SMART,0,25,25,0,0,0,0,25,25
SSANGYONG,0,78,78,0,140,140,0,218,218
SUBARU,0,440,440,0,0,0,0,440,440
SUZUKI,0,"1,379","1,379",0,0,0,0,"1,379","1,379"
TOYOTA,"15,041",831,"15,872",0,624,624,"15,041","1,455","16,496"
VOLKSWAGEN,0,"23,324","23,324",0,"5,483","5,483",0,"28,807","28,807"
VOLVO,0,"2,631","2,631",0,0,0,0,"2,631","2,631"
