ALFA ROMEO,,53,53,,,0,0,53,53
ASTON MARTIN,,2,2,,,0,0,2,2
AUDI,,"3,189","3,189",,,0,0,"3,189","3,189"
BENTLEY,,2,2,,,0,0,2,2
BMW,,"4,611","4,611",,,0,0,"4,611","4,611"
CHERY,,0,0,,,0,0,0,0
CITROEN,,"2,017","2,017",274,711,985,274,"2,728","3,002"
DACIA,,"4,745","4,745",,747,747,0,"5,492","5,492"
DS,,42,42,,,0,0,42,42
FERRARI,,2,2,,,0,0,2,2
FIAT,"6,638",308,"6,946","5,595",688,"6,283","12,233",996,"13,229"
FORD,954,"3,728","4,682","7,187",631,"7,818","8,141","4,359","12,500"
GEELY,,,0,,,0,0,0,0
HONDA,"2,121",732,"2,853",,,0,"2,121",732,"2,853"
HYUNDAI,"2,665","2,933","5,598",,231,231,"2,665","3,164","5,829"
INFINITI,,24,24,,,0,0,24,24
ISUZU,,,0,385,14,399,385,14,399
IVECO,,,0,,262,262,0,262,262
JAGUAR,,72,72,,,0,0,72,72
JEEP,,268,268,,,0,0,268,268
KARSAN,,,0,153,,153,153,0,153
KIA,,"2,251","2,251",,538,538,0,"2,789","2,789"
LAMBORGHINI,,1,1,,,0,0,1,1
LANCIA,,0,0,,,0,0,0,0
LAND ROVER,,232,232,,,0,0,232,232
LEXUS,,24,24,,,0,0,24,24
MASERATI,,14,14,,,0,0,14,14
MAZDA,,151,151,,,0,0,151,151
MERCEDES-BENZ,,"5,858","5,858",,"1,075","1,075",0,"6,933","6,933"
MINI,,226,226,,,0,0,226,226
MITSUBISHI,,92,92,49,322,371,49,414,463
NISSAN,,"4,237","4,237",,192,192,0,"4,429","4,429"
OPEL,,"7,129","7,129",,,0,0,"7,129","7,129"
OTOKAR,,,0,,,0,0,0,0
PEUGEOT,,"3,207","3,207",182,831,"1,013",182,"4,038","4,220"
PORSCHE,,134,134,,,0,0,134,134
PROTON,,0,0,,0,0,0,0,0
RENAULT,"6,905","3,926","10,831",,"1,929","1,929","6,905","5,855","12,760"
SEAT,,"3,016","3,016",,,0,0,"3,016","3,016"
SKODA,,"3,705","3,705",,,0,0,"3,705","3,705"
SMART,,29,29,,,0,0,29,29
SSANGYONG,,41,41,,36,36,0,77,77
SUBARU,,201,201,,,0,0,201,201
SUZUKI,,648,648,,,0,0,648,648
TATA,,,0,,,0,0,0,0
TOYOTA,"5,762","1,839","7,601",,722,722,"5,762","2,561","8,323"
VOLKSWAGEN,,"10,587","10,587",,"3,772","3,772",0,"14,359","14,359"
VOLVO,,462,462,,,0,0,462,462
