ALFA ROMEO,,60,60,,,0,0,60,60
ASTON MARTIN,,1,1,,,0,0,1,1
AUDI,,891,891,,,0,0,891,891
BENTLEY,,0,0,,,0,0,0,0
BMW,,637,637,,,0,0,637,637
CITROEN,,469,469,,189,189,0,658,658
DACIA,,"1,569","1,569",,170,170,0,"1,739","1,739"
DS,,15,15,,,0,0,15,15
FERRARI,,2,2,,,0,0,2,2
FIAT,"4,906",99,"5,005","1,375",175,"1,550","6,281",274,"6,555"
FORD,139,"1,232","1,371","2,047",34,"2,081","2,186","1,266","3,452"
HONDA,"1,640",203,"1,843",,,0,"1,640",203,"1,843"
HYUNDAI,653,"1,123","1,776",,81,81,653,"1,204","1,857"
INFINITI,,0,0,,,0,0,0,0
ISUZU,,,0,71,2,73,71,2,73
IVECO,,,0,,134,134,0,134,134
JAGUAR,,19,19,,,0,0,19,19
JEEP,,168,168,,,0,0,168,168
KARSAN,,,0,31,,31,31,0,31
KIA,,205,205,,149,149,0,354,354
LAMBORGHINI,,1,1,,,0,0,1,1
LAND ROVER,,48,48,,,0,0,48,48
LEXUS,,3,3,,,0,0,3,3
MASERATI,,3,3,,,0,0,3,3
MAZDA,,18,18,,,0,0,18,18
MERCEDES-BENZ,,"1,021","1,021",,319,319,0,"1,340","1,340"
MINI,,169,169,,,0,0,169,169
MITSUBISHI,,26,26,0,411,411,0,437,437
NISSAN,,"1,215","1,215",,41,41,0,"1,256","1,256"
OPEL,,"1,268","1,268",,55,55,0,"1,323","1,323"
PEUGEOT,,"1,927","1,927",,333,333,0,"2,260","2,260"
PORSCHE,,24,24,,,0,0,24,24
RENAULT,"6,565",718,"7,283",,211,211,"6,565",929,"7,494"
SEAT,,547,547,,,0,0,547,547
SKODA,,"1,441","1,441",,,0,0,"1,441","1,441"
SMART,,1,1,,,0,0,1,1
SSANGYONG,,11,11,,22,22,0,33,33
SUBARU,,32,32,,,0,0,32,32
SUZUKI,,245,245,,,0,0,245,245
TOYOTA,"2,559",94,"2,653",,90,90,"2,559",184,"2,743"
VOLKSWAGEN,,"3,665","3,665",,724,724,0,"4,389","4,389"
VOLVO,,392,392,,,0,0,392,392
